Order Number,Order ID,Date,Status,Store,Warehouse,Item Number,Description,Store SKU,Quantity,Price,Total Price,Discount,Sales Tax,Shipping Charge,Shipping Tax,Gift Wrap Charge,Gift Wrap Tax
102003373638555-8656873953,20002,03/29/2026,Ready To Pick,Target Plus,Default,850009397966,Royal Craft Wood Dish Washing Brush,RCW-DWB-BMB,1,9.97,9.97,0.5,0,0.00,0,0,0
902003373232878-8665406129,20001,03/29/2026,Ready To Pick,Target Plus,Default,850030176271,"Geniani XL Heating Pad for Back Pain Relief and Cramps Relief 15""x24"", Auto Shut Off, Heating Pad for Lower Back and Stomach, Atna",G-BHWA-SGR,1,31.47,31.47,1.57,0,0,0,0,0
902003373345075-8675111483,20000,03/29/2026,Ready To Pick,Target Plus,Default,860003205105,"Geniani Heating Pad XL, Black",X2-6Q5L-W0TD,1,31.96,31.96,0,0,0.00,0,0,0
902003373030958-8647013142,19999,03/29/2026,Ready To Pick,Target Plus,Default,860001143584,"Silverware Drawer Organizer, Natural",RCW-KITDRAW,1,44.97,44.97,0,0,0.00,0,0,0
912003373214557-8647005712,19998,03/29/2026,Ready To Pick,Target Plus,Default,850022045660,July Home Refrigerator Shelf Liners/Refrigerator Mats (Pack of 6),RFMAT-SET-6-LMY,1,8.97,8.97,0.45,0,0,0,0,0
912003373214557-8647005712,19998,03/29/2026,Ready To Pick,Target Plus,Default,850022045653,"July Home Refrigerator Mats, pack of 12, LLC/MNT/YLW",RFMAT-SET-12-LMY,1,12.97,12.97,0.65,0,0,0,0,0
902003354412266-8646927214,19997,03/29/2026,Ready To Pick,Target Plus,Default,860001143584,"Silverware Drawer Organizer, Natural",RCW-KITDRAW,1,44.97,44.97,0,0,0.00,0,0,0
102003372105787-8674952761,19996,03/28/2026,Ready To Pick,Target Plus,Default,850009397058,"Utensil Drawer Organizer, Natural",RCW-KITDRAW-5,1,34.97,34.97,0,0,0.00,0,0,0
912003371719844-8656617720,19995,03/28/2026,Ready To Pick,Target Plus,Default,860001143584,"Silverware Drawer Organizer, Natural",RCW-KITDRAW,1,44.97,44.97,2.25,0,0,0,0,0
102003371933947-8646785981,19994,03/28/2026,Ready To Pick,Target Plus,Default,850022045660,July Home Refrigerator Shelf Liners/Refrigerator Mats (Pack of 6),RFMAT-SET-6-LMY,1,8.97,8.97,0.45,0,0,0,0,0
912003371986488-8656581343,19993,03/28/2026,Ready To Pick,Target Plus,Default,850022045660,July Home Refrigerator Shelf Liners/Refrigerator Mats (Pack of 6),RFMAT-SET-6-LMY,1,8.97,8.97,0,0,0,0,0,0
912003361139066-8674861746,19992,03/28/2026,Ready To Pick,Target Plus,Default,850009397157,"Basic Silverware Drawer Organizer, Natural",RCW-KITDRAW-B,1,39.97,39.97,2,0,0.00,0,0,0
902003371711259-8674802528,19991,03/28/2026,Ready To Pick,Target Plus,Default,850022045608,"July Home Plastic Cutting Board Set of 3 with Juice Grooves for Meat, Veggies, Fruits, Easy Grip Handle, Non-Slip (Black/Gray)",JH-CUTBO-SET-3-BLGR,1,22.96,22.96,0,0,0,0,0,0
912003371232281-8664987389,19990,03/28/2026,Ready To Pick,Target Plus,Default,850009397966,Royal Craft Wood Dish Washing Brush,RCW-DWB-BMB,1,9.97,9.97,0,0,0,0,0,0
912003371179688-8646566831,19989,03/28/2026,Ready To Pick,Target Plus,Default,850022045301,July Home Expandable Kitchen Drawer Organizer - Convenient Plastic Flatware Drawer Organizer/Utensil Holder and Cutlery Tray,JH-DRAW-ORG-GR,1,22.58,22.58,0,0,5.99,0,0,0
902003370369783-8656332622,19988,03/28/2026,Ready To Pick,Target Plus,Default,860003205167,"Geniani Humidifier Erie 250ML, White",G-1013-250MLW,1,26.97,26.97,0,0,0.00,0,0,0
912003371165023-8664903588,19987,03/28/2026,Ready To Pick,Target Plus,Default,860001143584,"Silverware Drawer Organizer, Natural",RCW-KITDRAW,1,44.97,44.97,0,0,0.00,0,0,0
912003370518588-8656300774,19986,03/28/2026,Ready To Pick,Target Plus,Default,850009397591,"Royal Craft Wood Universal Bamboo Wood Box Set for Kitchen Set of 8, Office Desk, Makeup, Jewelry",RCW-STBOX-DR-8,1,54.97,54.97,2.74,0,0,0,0,0
912003370240041-8674486152,19985,03/27/2026,Ready To Pick,Target Plus,Default,850009397058,"Utensil Drawer Organizer, Natural",RCW-KITDRAW-5,1,34.97,34.97,1.75,0,0.00,0,0,0
912003369166329-8646073012,19984,03/27/2026,Ready To Pick,Target Plus,Default,850009397157,"Basic Silverware Drawer Organizer, Natural",RCW-KITDRAW-B,1,39.97,39.97,0,0,0.00,0,0,0
902003368677679-8674225260,19983,03/27/2026,Ready To Pick,Target Plus,Default,850022045349,July Home Flexible Cutting Mats Set of 3,JH-CUTMAT-SET-3,1,7.97,7.97,0,0,0.00,0,0,0
